timestamp;value
1638638798.429896;-25
1638638798.4302707;-24
1638638798.430498;-21
1638638798.4308822;-6
1638638798.4312663;-2
1638638798.4316506;0
1638638798.432035;-7
1638638798.4324193;0
1638638798.4328034;-3
1638638798.4331877;-7
1638638798.433572;-10
1638638798.4339564;-10
1638638798.4343405;0
1638638798.4347248;-1
1638638798.4351091;12
1638638798.4354935;36
1638638798.4358776;46
1638638798.436262;65
1638638798.436498;78
1638638798.4368794;95
1638638798.4372609;84
1638638798.4376423;69
1638638798.4380238;56
1638638798.4384053;36
1638638798.4387867;20
1638638798.4391682;-3
1638638798.43955;-2
1638638798.4399314;-4
1638638798.4403129;-1
1638638798.4406943;0
1638638798.4410758;-3
1638638798.4414573;-22
1638638798.4418387;-27
1638638798.4422202;-19
1638638798.442466;-30
1638638798.4428487;-25
1638638798.443231;-24
1638638798.4436138;-12
1638638798.4439964;-9
1638638798.4443789;-9
1638638798.4447615;-2
1638638798.4451442;-11
1638638798.4455266;-7
1638638798.4459093;-7
1638638798.4462917;-2
1638638798.4466743;-7
1638638798.447057;-7
1638638798.4474394;-8
1638638798.447822;-1
1638638798.4482048;0
1638638798.448474;7
1638638798.448848;3
1638638798.4492223;12
1638638798.4495964;21
1638638798.4499707;18
1638638798.4503448;20
1638638798.450719;23
1638638798.4510932;36
1638638798.4514675;31
1638638798.4518416;28
1638638798.452216;29
1638638798.45259;32
1638638798.4529643;15
1638638798.4533384;1
1638638798.4537127;0
1638638798.4540868;6
1638638798.454331;2
1638638798.454711;1
1638638798.455091;-3
1638638798.455471;-3
1638638798.4558508;5
1638638798.4562309;16
1638638798.456611;8
1638638798.456991;9
1638638798.457371;3
1638638798.457751;-1
1638638798.458131;0
1638638798.458511;-1
1638638798.458891;10
1638638798.459271;3
1638638798.459651;4
1638638798.460031;1
1638638798.460268;5
1638638798.4606402;-9
1638638798.4610124;-8
1638638798.4613845;-9
1638638798.4617567;-15
1638638798.4621289;-8
1638638798.4625013;-2
1638638798.4628735;-9
1638638798.4632456;-11
1638638798.4636178;-12
1638638798.46399;-5
1638638798.4643621;0
1638638798.4647343;-2
1638638798.4651065;-11
1638638798.4654787;-8
1638638798.4658508;-4
1638638798.466081;24
